Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
77366,"The Hero and the Crown (Damar, #2)",Robin McKinley,"McKinley, Robin",,0441328091,9780441328093,3,4.21,Ace,Mass Market Paperback,240,1987,1984,7/20/2020,5/29/2020,,,read,,,,1,,,0,,,,,
25489134,"The Bear and the Nightingale (The Winternight Trilogy, #1)",Katherine Arden,"Arden, Katherine",,1101885939,9781101885932,0,4.08,Del Rey Books,Hardcover,319,2017,2017,,7/17/2020,to-read,to-read (#31),to-read,,,,0,,,0,,,,,
4069,Man's Search for Meaning,Viktor E. Frankl,"Frankl, Viktor E.","Harold S. Kushner, William J. Winslade, Isle Lasch",080701429X,9780807014295,0,4.35,Beacon Press,Paperback,165,2006,1946,,7/15/2020,"to-read, tbr","to-read (#30), tbr (#10)",to-read,,,,0,,,0,,,,,
287565,Adam of the Road,Elizabeth Janet Gray,"Gray, Elizabeth Janet",Elizabeth Gray Vining,0590339834,9780590339834,4,3.77,Scholastic Book Services,Mass Market Paperback,320,1970,1942,,7/15/2020,,,read,,,,1,,,0,,,,,
72543,The Door in the Wall,Marguerite de Angeli,"Angeli, Marguerite de",,0440227798,9780440227793,3,3.75,Laurel Leaf Library,Paperback,120,1998,1949,,7/15/2020,,,read,,,,1,,,0,,,,,
33413128,"Beartown (Beartown, #1)",Fredrik Backman,"Backman, Fredrik",Neil Smith,,,0,4.25,Simon & Schuster,Kindle Edition,432,2017,2016,,7/8/2020,to-read,to-read (#29),to-read,,,,0,,,0,,,,,
27209431,The Inevitable: Understanding the 12 Technological Forces That Will Shape Our Future,Kevin Kelly,"Kelly, Kevin",,,,0,3.93,Viking,Hardcover,336,2016,2016,,7/1/2020,to-read,to-read (#28),to-read,,,,0,,,0,,,,,
4671,The Great Gatsby,F. Scott Fitzgerald,"Fitzgerald, F. Scott",Francis Scott Fitzgerald,,,4,3.93,Scribner,Paperback,200,2004,1925,6/24/2020,6/15/2020,,,read,,,,1,,,0,,,,,
3153910,The Art of Racing in the Rain,Garth Stein,"Stein, Garth",,1554681723,9781554681723,5,4.21,Harper Collins,Hardcover,321,2008,2008,,4/15/2019,,,read,,,,1,,,0,,,,,
34273236,Little Fires Everywhere,Celeste Ng,"Ng, Celeste",,0735224293,9780735224292,4,4.09,Penguin Press,Hardcover,338,2017,2017,6/14/2020,5/27/2020,,,read,,,,1,,,0,,,,,
35690256,"Music Theory 101: From keys and scales to rhythm and melody, an essential primer on the basics of music theory (Adams 101)",Brian Boone,"Boone, Brian",Marc Schonbrun,,,0,3.96,Adams Media,Kindle Edition,257,2017,2017,,5/22/2020,to-read,to-read (#26),to-read,,,,0,,,0,,,,,
9591398,"The Girl Who Circumnavigated Fairyland in a Ship of Her Own Making (Fairyland, #1)",Catherynne M. Valente,"Valente, Catherynne M.",,0312649614,9780312649616,0,3.91,Feiwel & Friends,Hardcover,247,2011,2011,,5/20/2020,to-read,to-read (#25),to-read,,,,0,,,0,,,,,
14866,Nineteen Minutes,Jodi Picoult,"Picoult, Jodi",,0743496728,9780743496728,4,4.13,Atria Books,Hardcover,440,2007,2007,5/13/2020,4/30/2020,,,read,,,,1,,,0,,,,,
